,0,1,2,3,4
0,858,1364.0,"""Mitch McConnell and Senate Republicans had an opportunity to draft a bipartisan relief package that would help the people who are suffering the most in this pandemic — American workers and their families,""",['Mitch McConnell' 'Sherrod Brown'],Senate
0,859,1364.0,"""We’ll be introducing our own bill and hopefully, it will be compatible with what they discussed in the Senate,""",['Pelosi'],Senate
0,883,1403.0,"""Aside from sitting in front of the White House and lighting myself on fire, I feel like I’ve done everything I can,""",['Bowen'],White House
0,912,1441.0,"""It’s imperative that the federal government does everything within its power to support New York in the state effort to stem the spread of the deadly coronavirus,""",['Schumer'],Senate
0,932,1470.0,"""When held at border facilities, these migrants were spreading the virus to other migrants, to C.B.P. agents and border health care workers and even the United States population as a whole,""",['Azar'],Customs and Border Protection
0,971,1508.0,"""All the ships who work in search-and-rescue have to follow this code of conduct,""",['Abdal Samad'],Coast Guard
0,975,1517.0,"""The nation’s needs and expectations are perfectly clear,""",['McConnell'],Senate
0,976,1517.0,"""We’re very comfortable with this goal,""",['Eric Ueland'],White House
0,982,1537.0,"""And it can do a lot of good things if we need it,""",['Trump'],White House
0,983,1537.0,"""We’re talking about, ironically, a New Yorker in the White House who is betraying New York City,""",['Trump' 'Bill de Blasio'],White House
0,984,1537.0,"""President Trump has made it clear the Defense Production Act will only be used as necessary and so far, the voluntary responses of private enterprise has been beautiful,""",['Peter Navarro' 'Trump'],White House
0,995,1553.0,"""Save America’s Pastime Act""",['Broshuis'],Congress—U.S. House of Representatives
0,1016,1583.0,"""suspending all campaign-related activities""",['John Cornyn' 'Republican'],Senate
0,1034,1601.0,"""via video teleconference in April and May just as he did this week.""",['Judd Deere' 'Deere' 'Trump'],White House
0,1081,1682.0,"""make it clear to your charges that they are the officers of the Israel Police, and not the Netanyahu Police.""",['Moshe Yaalon'],White House
0,1088,1696.0,"""make it clear to your charges that they are the officers of the Israel Police, and not the Netanyahu Police.""",['Moshe Yaalon'],White House
0,1103,1741.0,"Two female officers with the Transportation Security Administration at Kennedy International Airport left work on Wednesday after learning that they had the virus,",['Hydrick Thomas'],Transportation Security Administration (TSA)
0,1129,1781.0,"""Is this race over?""",['Hakeem Jeffries'],Congress—U.S. House of Representatives
0,1132,1784.0,"""This is a unique situation that calls for a unique response,""",['Paul Rosen'],Navy
0,1159,1832.0,"""It would have been great if they came on and said, ‘This is the biggest pandemic of our time, and we’re going to use our funds and influence to ensure that every country understands the importance of self-isolation, and while the Games can still happen, our No. 1 priority is the safety of the Olympic athletes and their families, alike,""",['Smith'],Smithsonian Institution
0,1167,1842.0,"""the media’s fake outrage,""",['The White House'],White House
0,1215,1912.0,"""During the meeting with Senate Republicans today, Secretary Mnuchin used several mathematical examples for illustrative purposes, but he never implied this would be the case,""",['Crowley'],Senate
